PROJ.4.PROJECTION: "+proj=lcc +lat_2=50.569898649999999 +lat_1=50.569898649999999 +lon_0=4.553615160000000 +units=m +no_defs +a=6371229.0 +es=0.0"

PIXEL_ID LAMBERT_X LAMBERT_Y LAT LON
247 -2500 6293014.18 50.188 4.519
248 2500 6293014.18 50.188 4.589
249 7500 6293014.18 50.188 4.659
250 12500 6293014.18 50.188 4.729
251 17500 6293014.18 50.187 4.799
252 22500 6293014.18 50.187 4.87
253 27500 6293014.18 50.187 4.94
254 32500 6293014.18 50.187 5.01
255 37500 6293014.18 50.187 5.08
256 42500 6293014.18 50.186 5.151
257 47500 6293014.18 50.186 5.221
258 52500 6293014.18 50.185 5.291
259 57500 6293014.18 50.185 5.361
260 62500 6293014.18 50.184 5.431
261 67500 6293014.18 50.184 5.502
262 72500 6293014.18 50.183 5.572
263 77500 6293014.18 50.183 5.642
264 82500 6293014.18 50.182 5.712
265 87500 6293014.18 50.181 5.782
266 92500 6293014.18 50.18 5.853
267 97500 6293014.18 50.18 5.923
268 102500 6293014.18 50.179 5.993
269 107500 6293014.18 50.178 6.063
270 112500 6293014.18 50.177 6.133
271 117500 6293014.18 50.176 6.204
272 -27500 6298014.18 50.232 4.167
273 -22500 6298014.18 50.232 4.237
274 -17500 6298014.18 50.232 4.308
275 -12500 6298014.18 50.233 4.378
276 -7500 6298014.18 50.233 4.448
277 -2500 6298014.18 50.233 4.518
278 2500 6298014.18 50.233 4.589
279 7500 6298014.18 50.233 4.659
280 12500 6298014.18 50.233 4.729
281 17500 6298014.18 50.232 4.8
282 22500 6298014.18 50.232 4.87
283 27500 6298014.18 50.232 4.94
284 32500 6298014.18 50.232 5.011
285 37500 6298014.18 50.231 5.081
286 42500 6298014.18 50.231 5.151
287 47500 6298014.18 50.231 5.221
288 52500 6298014.18 50.23 5.292
289 57500 6298014.18 50.23 5.362
290 62500 6298014.18 50.229 5.432
291 67500 6298014.18 50.229 5.503
292 72500 6298014.18 50.228 5.573
293 77500 6298014.18 50.228 5.643
294 82500 6298014.18 50.227 5.713
295 87500 6298014.18 50.226 5.784
296 92500 6298014.18 50.225 5.854
297 97500 6298014.18 50.225 5.924
298 102500 6298014.18 50.224 5.994
299 107500 6298014.18 50.223 6.065
300 112500 6298014.18 50.222 6.135
301 117500 6298014.18 50.221 6.205
302 -32500 6303014.18 50.277 4.096
303 -27500 6303014.18 50.277 4.167
304 -22500 6303014.18 50.277 4.237
305 -17500 6303014.18 50.277 4.307
306 -12500 6303014.18 50.277 4.378
307 -7500 6303014.18 50.278 4.448
308 -2500 6303014.18 50.278 4.518
309 2500 6303014.18 50.278 4.589
310 7500 6303014.18 50.278 4.659
311 12500 6303014.18 50.277 4.73
312 17500 6303014.18 50.277 4.8
313 22500 6303014.18 50.277 4.87
314 27500 6303014.18 50.277 4.941
315 32500 6303014.18 50.277 5.011
316 37500 6303014.18 50.276 5.081
317 42500 6303014.18 50.276 5.152
318 47500 6303014.18 50.276 5.222
319 52500 6303014.18 50.275 5.292
320 57500 6303014.18 50.275 5.363
321 62500 6303014.18 50.274 5.433
322 67500 6303014.18 50.274 5.503
323 72500 6303014.18 50.273 5.574
324 77500 6303014.18 50.273 5.644
325 82500 6303014.18 50.272 5.714
326 87500 6303014.18 50.271 5.785
